id,Product_Prices,Original_Crawled_URLs,Raw_Entire_Dataset,Product_Classes,Raw_Product_Categories
0,273,http://www.vatanbilgisayar.com/crg731c-mavi-toner-mf8280cw.html,CRG731C MAVİ TONER MF8280CW,137,Tüketim Malzemeleri > Toner > CANON
1,144,http://www.teknobiyotik.com/network/router-ap/asus-rt-n10e-wireless-n150-4port-router.html,Asus RT-N10E Wireless-N150 4port Router,213,Kablosuz Router & AP
2,1206,http://www.webdenal.com/viewsonic-vg2401mh_728616.html,"Vg2401mh 24? 144hz, 1ms Ve Ergonomik Oyuncu Monitörü",138,PC / Monitör > Monitör
3,1341,http://www.buroteknik.com/HP-K0W08EA-11-n000nt-N3540-4G-750G-11-6-W8-Touch_160434.html,HP K0W08EA 11-n000nt N3540 4G 750G 11.6 W8 Touch Notebook,36,Bilgisayar Tablet Yazıcı > Notebook
4,7,https://www.yuppigo.com/Hangars/HangarsDetay.aspx?Xmlluckys=ypg-374133&TTEC-2EK7030-SAMSUNG-S5-MAT-EKRAN-KORUYUCU,TTEC 2EK7030 SAMSUNG S5 MAT EKRAN KORUYUCU,144,Telefon >  Cep Telefonu Aksesuarları >  Ekran Koruyucu Filmler
5,71,http://www.hizlial.com/cooler-master-rr-vtps-28pk-r1-amd-intel-vortex-plus-cpu-fan/10547584,Cooler Master RR-VTPS-28PK-R1 Amd + İntel Vortex Plus CPU Fan,141,Bilgisayar > Bilgisayar Bileşenleri > İşlemci Soğutucuları
6,65,http://www.eksenbilgisayar.com/urun/logitech-mk240-q-turkce-kablosuz-usb-klavye-set-920-005789.aspx,LOGITECH MK240 Q Türkçe Kablosuz USB Klavye Set 920-005789,179,Çevre Birimler > Klavye - Mouse
7,2085,http://www.netsiparis.com/samsung-ue-40h7000-40-102cm-smart-3d-led-tv,"Samsung UE-40H7000 40"" 102cm SMART 3D LED TV",211,Elektronik/TV > Televizyonlar > Led TV > Samsung
8,199,"http://www.mediamarkt.com.tr/mcs/product/HP-Deskjet-Ink-Advantage-2645-All-in-One-Yazıcı-D4H22C,103452,504962,1073841.html?langId=-14",HP Deskjet Ink Advantage 2645 All-in-One Yazıcı D4H22C,40,Bilgisayar > Ofis Malzemeleri > Yazıcılar
9,7100,http://www.alalimbakalim.com/nikon-d810-body-dslr-dijital-fotograf-makinesi.html,Nikon D810 Body DSLR Dijital Fotoğraf Makinesi,262,
10,71,"http://www.istanbulbilisim.com.tr/cooler-master-rr-vtps-28pk-r1-amd-intel-vortex-plus-cpu-fan-fiyati,109655.html",Cooler Master RR-VTPS-28PK-R1 Amd + İntel Vortex Plus CPU Fan,141,Soğutucu(Fan) > Cooler Master
11,45,http://www.ereyon.com.tr/store/ProductDetails.aspx?productid=10380305,X360 MEDAL OF HONOR WARFIGHTER,62,Hobi & Oyun Konsolları > Oyun&Oyun Konsolu > X-Box Oyunları > XBOX 360 Oyunları
12,43,http://www.deveyuku.com/urun/ms-mobile-3000-nano-mouse-siyah-usb-2ef-00003_153291.aspx,MS MOBILE 3000 NANO MOUSE SİYAH USB 2EF-00003,133,Bilgisayar Bileşenleri > Resim > Microsoft > MS MOBILE 3000 NANO MOUSE SİYAH USB 2EF-00003
13,514,http://www.exa.com.tr/corsair/sabit_diskler/corsair_force-327-20626.html,Corsair Force GS 240 GB SSD Disk CSSD-F240GBGS-BK,197,Bilg.Parçaları > Sabit Diskler
