id,Product_Prices,Original_Crawled_URLs,Raw_Entire_Dataset,Product_Classes,Raw_Product_Categories
0,252,"http://www.istanbulbilisim.com.tr/a367-05-caykahve-korkmaz-cay-ve-kahve-makinesi-en-ucuz-fiyatlari,59705.html",Korkmaz A367-05 ÇayKahve - Elektrikli Çay Kahve Makinesi,110,Çay Ve Kahve Makinesi > KORKMAZ
1,252,http://www.incehesap.com/airties-air5750-1200-mbps-fiyati-25982/,Airties Air5750 1200 Mbps 4 Port VDSL2/ADSL2 Modem,76,Bilgisayar > Çevre Birimleri > ADSL Modem
2,43,http://www.eksenbilgisayar.com/urun/brother-lc47-c-400-sayfa-mavi-kartus-110210425c.aspx,BROTHER LC47-C 400 Sayfa Mavi Kartuş (110/210/425C),59,Tüketim Ürünleri > Sarf Malzemeler > Toner
3,139,http://www.vatanbilgisayar.com/ek-402-ceviz-32--42-ceviz-110-cm-tv-sehpasi.html,"EK-402 CEVİZ (32"" - 42"") CEVİZ 110 CM TV SEHPASI",28,Tüketici Elektroniği > Askı Aparatları ve Sehbalar > Sehbalar > Ekia
4,1225,http://www.vatanbilgisayar.com/asus-gtx780-rog-poseidon-gddr5-3gb-384bit-nvidia-geforce-dx112-ekran-karti.html,Asus GTX780 ROG POSEIDON GDDR5 3GB 384Bit Nvidia GeForce DX11.2 Ekran Kartı,90,OEM Ürünleri > Ekran Kartları > NVIDIA > ASUS
5,47,http://www.vatanbilgisayar.com/corsair-16gb-voyager-mini-usb-30-usb-bellek.html,CORSAIR 16GB VOYAGER MINI USB 3.0 USB Bellek CMFMINI3-16GB,258,OEM Ürünleri > USB Bellek > CORSAIR
6,326,http://www.worldteknoloji.com/Products-26738-microsoft-office-mac-home-student-2011-eng-box-gza-00277.html,Microsoft Office Mac Home Student 2011 Eng Box GZA-00277,64,Yazılım > Ticari Yazılımlar > Microsoft
7,6,http://www.bizdehesapli.com/frisby-fcr-40p-sd-minisd-t-flash-m2-kart-o-usb2-0-urun-FCR-40P,"FRISBY FCR-40P SD/MiniSD/T-Flash/M2 Kart O. USB2,0",187,"Bilgisayar > Aksesuarlar > Kart Okuyucular > FRISBY FCR-40P SD/MiniSD/T-Flash/M2 Kart O. USB2,0"
8,149,http://www.webdenal.com/edifier-aurora-pp_504081.html,"Image Series Aurora Aurora-pp, Tutku Pembesi, 22w Rms, 2.1 Notebook Ses Sistemi",220,Bilgisayar Ürünleri > Çevre Birimleri > Hoparlörler
9,202,http://www.webdenal.com/seagate-stdr1000201_621974.html,"Stdr1000201 2,5"" 1tb Bp Usb 3.0 Gümüş",116,Bilgisayar Ürünleri > Veri Depolama > Taşınabilir Disk
