product_id,Product_Prices,Original_Crawled_URLs,Raw_Entire_Dataset,Product_Classes,Raw_Product_Categories
116,1699,http://www.teknosa.com/urunler/125071378/samsung-g850-galaxy-alpha-beyaz-akilli-telefon,SAMSUNG G850 GALAXY ALPHA BEYAZ AKILLI TELEFON,9,TELEKOM > AKILLI TELEFON
462,1375,http://www.eksenbilgisayar.com/urun/hp-pavilion-11-n000nt-pentium-n3540-4gb-750gb-116-win8---k0w08ea.aspx,"HP Pavilion 11-n000nt Pentium N3540 4GB 750GB 11.6"" Dokunmatik Win8 - K0W08EA",36,Bilgisayar > Taşınabilir Bilgisayarlar
1286,2599,http://www.teknolojiankara.com/Products-URUN2082114-apple-iphone-6-plus-16gb-cep-telefonu.html,Apple iPhone 6 Plus 16GB Cep Telefonu,48,Cep Telefonları > APPLE
1290,1570,http://www.teknolojiankara.com/Products-URUN2082144-samsung-g850f-galaxy-alpha-cep-telefonu.html,Samsung G850F Galaxy Alpha Cep Telefonu,9,Cep Telefonları > SAMSUNG
1300,2238,http://www.teknolojiankara.com/Products-URUN2081888-samsung-ue-48h6270-led-televizyon.html,Samsung UE-48H6270 LED Televizyon,87,Ev Elektroniği > Televizyonlar > SAMSUNG
1665,212,http://www.netsiparis.com/philips-18-5inc-193v5lsb2-62-5ms-led-monitor,"Philips 18,5inç 193V5LSB2/62 5ms Led Monitör",156,Bilgisayar > Bilgisayar Parçaları > Monitör > Led Monitörler > Philips
2485,203,http://www.webdenal.com/philips-193v5lsb2-62_583006.html,"18,5 193v5lsb2-62 Led Monitör 5ms Siyah",156,PC / Monitör > Monitör
2495,202,http://www.webdenal.com/seagate-stdr1000201_621974.html,"Stdr1000201 2,5"" 1tb Bp Usb 3.0 Gümüş",116,Bilgisayar Ürünleri > Veri Depolama > Taşınabilir Disk
2503,245,http://www.webdenal.com/sony-dsc-w800-b_692812.html,"Dsc-w800 20.1mp 5x Optik 2.7"" Lcd Dijital Kompakt Siyah",182,Fotoğraf / Elektronik > Dijital Fotoğraf Makinesi
2580,517,http://www.enhesapliyiz.com/tefal-gv8930-pro-express-buhar-jeneratorlu-utu,Tefal GV8930 Pro Express Buhar Jeneratörlü Ütü,178,Küçük Ev Aletleri > ütü
